202312161944
chozame
x
area
charger_4k_scope,others,432,5,1,2,win
shooter_sharp,myself,515,5,2,2,win
wiper_gim,others,537,4,1,2,win
shooter_spla,others,506,4,3,2,win
stringer_lact,others,759,4,4,2,lose
blaster_hot_custom,others,371,2,3,1,lose
shooter_spla,others,376,3,3,1,lose
charger_4k_scope,others,249,0,4,0,lose
a_x,a_y,a_sp,a_life,b_x,b_y,b_sp,b_life,y_x,y_y,y_sp,y_life,x_x,x_y,x_sp,x_life,u_x,u_y,u_sp,u_life,r_x,r_y,r_sp,r_life,d_x,d_y,d_sp,d_life,l_x,l_y,l_sp,l_life
644,504,nan,False,605,520,6,False,652,588,nan,False,704,587,2,False,1312,251,13,False,1313,265,0,False,1313,251,nan,False,1320,322,6,False
664,498,nan,False,663,498,6,False,687,585,nan,False,742,587,25,False,1294,255,13,False,1295,269,0,False,1240,252,nan,False,1316,333,6,False
676,494,6,False,675,494,6,False,722,583,nan,False,779,587,25,False,1240,246,13,False,1271,270,0,False,1205,254,nan,False,1304,336,9,False
700,490,6,False,699,490,6,False,756,581,nan,False,812,587,26,False,1285,325,13,False,1240,271,0,False,1171,253,nan,False,1287,338,0,False
720,484,6,False,719,484,9,False,788,581,nan,False,844,586,2,False,1250,334,13,False,1209,270,0,False,1137,254,nan,False,1252,347,0,False
728,485,6,False,728,486,9,False,817,584,nan,False,872,583,28,False,1141,243,13,False,1179,271,0,False,1110,252,nan,False,1221,359,0,False
724,487,6,False,724,488,9,False,847,588,nan,False,909,584,28,False,1125,241,13,False,1482,426,0,False,1097,247,nan,False,1202,367,0,False
721,488,6,False,721,488,9,False,869,582,nan,False,936,578,29,False,1115,240,13,False,1029,896,0,False,1088,244,nan,False,1192,373,0,False
717,488,6,False,717,488,9,False,881,578,nan,False,941,567,30,False,1192,358,16,False,1103,261,0,False,1074,245,23,False,1194,371,0,False
714,487,6,False,706,452,9,False,nan,nan,nan,False,939,553,30,False,1195,356,16,False,1091,261,0,False,1090,247,23,False,1197,369,0,False
725,483,6,False,712,436,9,False,nan,nan,nan,False,940,540,3,False,1081,249,18,False,1082,263,nan,False,1006,244,23,False,1201,368,0,False
739,479,8,False,720,424,9,False,909,552,nan,False,949,505,35,False,1068,279,20,False,1482,426,nan,False,971,242,23,False,1203,369,0,False
763,462,8,False,726,413,9,False,914,540,8,False,957,470,36,False,1067,300,20,False,1482,426,nan,False,940,253,23,False,1190,377,0,False
779,442,8,False,731,404,9,False,917,530,2,False,973,447,3,False,1060,306,20,False,1043,306,nan,False,926,281,23,False,1176,387,nan,False
797,440,8,False,740,403,9,False,923,515,2,False,990,440,38,False,1040,300,21,False,1041,314,nan,False,929,298,23,False,1164,398,nan,False
808,441,8,False,747,404,9,False,934,507,2,False,1018,436,39,False,1027,292,23,False,1497,166,nan,False,932,310,24,False,1155,409,nan,False
808,439,8,False,748,401,9,False,941,499,2,False,1046,433,39,False,1008,279,23,False,1034,289,5,False,930,334,25,False,1146,418,nan,False
810,432,8,False,747,397,9,False,937,503,2,False,1315,235,39,False,995,276,23,False,1036,276,5,False,925,358,25,False,1144,420,nan,False
820,431,8,False,746,389,2,False,919,534,2,False,1315,235,39,False,984,276,24,False,1047,274,6,False,925,361,25,False,1147,419,nan,False
836,429,8,False,744,377,20,False,913,562,2,False,1315,235,39,False,971,269,26,False,1057,295,6,False,926,360,25,False,1148,415,nan,False
845,421,8,False,743,368,20,False,912,573,2,False,974,6,39,False,959,265,29,False,1051,314,6,False,919,367,25,False,1159,405,nan,False
844,429,8,False,745,374,20,False,905,564,2,False,974,6,39,False,950,261,30,False,1043,334,6,False,920,366,25,False,1163,404,nan,False
840,432,8,False,746,377,20,False,902,557,2,False,974,6,40,False,939,255,31,False,1053,346,nan,False,921,355,26,False,1162,400,2,False
835,444,8,False,750,386,20,False,906,557,28,False,1162,410,4,False,909,241,33,False,1063,339,nan,False,916,344,26,False,910,254,2,False
