202312051655
baigai
x
yagura
wiper_drive,others,1528,9,3,6,win
shooter_h3_d,myself,1097,5,4,2,win
shooter_spla,others,1251,12,9,5,win
blaster_crash,others,1106,12,5,6,win
shooter_modelar_rg,others,1989,8,7,6,lose
wiper_drive,others,1106,7,1,4,lose
maneuver_spla_collabo,others,892,8,9,4,lose
blaster_long,others,1027,3,6,3,lose
a_x,a_y,a_sp,a_life,b_x,b_y,b_sp,b_life,y_x,y_y,y_sp,y_life,x_x,x_y,x_sp,x_life,u_x,u_y,u_sp,u_life,r_x,r_y,r_sp,r_life,d_x,d_y,d_sp,d_life,l_x,l_y,l_sp,l_life
1001,219,3,1,1074,188,9,1,1072,442,6,1,1080,241,43,1,912,371,22,1,864,552,85,1,876,423,2,1,914,384,26,1
998,197,3,1,998,197,9,1,1087,437,6,1,1080,241,43,1,933,342,22,1,869,561,87,1,874,448,2,1,852,569,26,1
978,183,nan,1,1048,191,9,1,1097,441,6,1,1080,241,1,1,956,321,22,1,nan,nan,0,1,874,475,2,1,865,592,26,1
963,194,3,1,1035,191,9,1,1095,438,43,1,1080,241,43,1,973,334,22,1,884,623,4,1,869,482,3,1,869,610,66,1
959,215,1,1,1023,191,9,1,1109,429,43,1,1080,241,1,1,978,351,22,1,nan,nan,5,1,872,469,3,1,866,614,66,1
956,234,nan,1,1021,196,9,1,1116,426,41,1,1080,241,1,1,988,358,23,1,884,632,7,1,877,458,3,1,878,471,61,1
947,267,1,1,1008,197,9,1,1121,424,45,1,1085,236,1,1,1000,360,24,1,883,629,80,1,880,452,6,1,882,465,61,1
943,286,1,1,1000,198,nan,1,1124,422,45,1,1097,224,1,1,1011,364,25,1,882,627,82,1,884,472,6,1,886,486,61,1
935,293,3,1,1008,200,nan,1,1126,417,45,1,1098,224,1,1,1023,368,25,1,nan,nan,87,1,874,506,6,1,870,615,62,1
937,291,3,1,1023,198,1,1,1126,416,45,1,1090,233,1,1,1032,377,25,1,865,575,8,1,864,561,6,1,1034,390,66,1
937,292,33,1,1031,202,1,1,1126,416,45,1,1089,234,1,1,1057,401,2,1,873,554,41,1,873,540,6,1,1059,414,nan,1
938,292,33,1,1022,215,1,1,1126,416,45,1,1088,236,1,1,1087,419,2,1,879,549,42,1,878,535,6,1,nan,nan,nan,1
943,292,33,1,1008,221,1,1,1126,416,45,1,1088,237,1,1,1115,424,2,1,878,559,43,1,844,491,43,1,864,574,nan,1
945,292,33,1,1015,231,1,1,nan,nan,45,1,1085,254,1,1,1144,422,2,1,nan,nan,45,1,858,460,44,1,886,578,nan,1
943,290,31,1,1028,238,1,1,nan,nan,45,1,1082,267,1,1,1155,412,3,1,873,618,47,1,867,435,45,1,899,577,nan,1
943,292,63,1,1024,231,1,1,1171,398,45,1,1113,291,1,1,900,561,3,1,874,624,48,1,865,418,46,1,902,574,nan,1
948,307,61,1,1039,205,1,1,1244,368,45,1,1130,314,45,1,1169,411,3,1,878,631,nan,1,881,413,46,1,898,556,nan,1
961,341,61,1,1073,198,1,1,1333,332,45,1,1125,311,nan,1,1171,423,3,1,881,640,nan,1,891,403,46,1,883,546,nan,1
963,351,35,1,1090,216,31,1,1435,288,45,1,1142,346,43,1,1177,433,3,1,874,633,nan,1,894,399,46,1,863,549,46,1
981,366,36,1,1073,214,6,1,1541,242,43,1,1148,355,51,1,1186,432,8,1,848,606,nan,1,895,412,46,1,852,565,4,1
